731,MARRIAGE QUARTERS,COMPLEX: LEEUWKOP PRISON,BASIC EDUCATION,0,0,Leeukop prison road,IR,-26.0087753,28.0521172,MARRIAGE QUARTERS,JOHANNESBURG ;Public Works.ProcessReviewer;201924
678,SINGLE QUARTER FLATS,COMPLEX: LEEUWKOP PRISON,BASIC EDUCATION,0,0,Leeukop prison road,IR,-26.0034934,28.0444258,SINGLE QUARTER FLATS,JOHANNESBURG ;Public Works.ProcessReviewer;201927
677,SINGLE QUARTER FLATS,COMPLEX: LEEUWKOP PRISON,BASIC EDUCATION,0,0,Leeukop prison road,IR,-26.0032106,28.0446183,SINGLE QUARTER FLATS,JOHANNESBURG ;Public Works.ProcessReviewer;201929
650,MEDIUM C,,CORRECTIONAL SERVICES,1,1,IMPALA STR DIEPKLOOF,IQ,-26.271544,27.9656791,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;201933
567,OFFICES, CANTEEN, WAITING AREA AND ABLUTIONS,N;Public Works.ProcessReviewer;201937
566,OFFICES AND ABLUTIONS,N;Public Works.ProcessReviewer;201939
565,OFFICES AND ABLUTIONS,N;Public Works.ProcessReviewer;201941
3075,MONDEOR SAPS,,SA POLICE SERVICES,0,N;Public Works.ProcessReviewer;201945
294,MILLITARY HEALTH BASE DEPOT,,,0,1,KETJEN STREET,JR,-25.7614661,28.1681813,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201947
2831,OFFICE,COMPLEX: SAPS DUDUZA,SA POLICE SERVICES,0,8480,NALA STREET,DUDUZA,-26.3754144,28.41765,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;201949
2865,PARKING,COMPLEX: AIR FORCE BASE,DEFENCE,0,N;Public Works.ProcessReviewer;201954
2639,MAGISTRATE COURT,,JUSTICE AND CONSTITUTIONAL DEVELPM,0,NA,SAM MOLELE DRIVE, NEXT TO RABASOTHO POLICE STATION,IGQAGQA,-26.0080516,28.2210232,MAGISTRATES COURT,JOHANNESBURG ;Public Works.ProcessReviewer;201956
2595,SA POLICE SERVICES,COMPLEX: COLLEGE SOUTH BASE,SA POLICE SERVICES,0,0,PARK ROAD,OUDTSHOORN,-33.597368,22.1822855,OFFICE,CAPE TOWN ;Public Works.ProcessReviewer;201958
2594,SA POLICE SERVICES,COMPLEX: COLLEGE SOUTH BASE,SA POLICE SERVICES,0,0,PARK ROAD,OUDTSHOORN,-33.5958774,22.1831669,OFFICE,CAPE TOWN ;Public Works.ProcessReviewer;201960
244,OFFICES,,DEFENCE,0,Erf 186;Public Works.ProcessReviewer;201962
243,SLEEPING DOM,,DEFENCE,0,Erf 186;Public Works.ProcessReviewer;201964
1881,HR OFFICES,N;Public Works.ProcessReviewer;201966
1880,MUNICIPALITY MANAGER OFFICES,N;Public Works.ProcessReviewer;201968
1821,CORRECTIONAL SERVICE,COMPLEX: PRISON OUDTSHOORN,CORRECTIONAL SERVICES,0,0,VICTORIA STREET,OUDTSHOORN,-33.5813106,22.2231151,RESIDENTIAL HOUSE,CAPE TOWN ;Public Works.ProcessReviewer;201970
1797,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7637258,28.169256,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201972
1796,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7637981,28.1687465,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201974
1795,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7635526,28.1686824,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201976
1794,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.763487,28.1692812,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201978
1793,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7633181,28.1686434,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201980
1792,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.763273,28.1693175,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201984
1790,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7630413,28.1699162,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201986
1784,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7627547,28.1709192,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201988
1783,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7625346,28.1707052,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201990
1782,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7625088,28.1683517,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201992
1781,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7623707,28.1686081,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201994
1780,MILLITARY HEALTH BASE DEPOT,,,0,1,KETJEN STREET,JR,-25.7615518,28.1710549,OFFICE,PRETORIA ;Public Works.ProcessReviewer;201996
1701,CHARGE OFFICE,COMPLEX: SAPS BOKSBURG,SA POLICE SERVICES,0,Erf 1610,COMMISSIONER STREET,BOKSBURG,-26.2201296,28.238017,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;201999
1518,MAIN OFFICE,HOME AFFAIRS OFFICE BUILDING,HOME AFFAIRS,0,26,HF VERWOERD STREET,HEIDELBERG,-26.4999599,28.3558886,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202001
1516,MAIN COURT AND OFFICES,,JUSTICE AND CONSTITUTIONAL DEVELPM,0,67,BEGEMAN STREET,JR,-26.4994806,28.3548201,MAGISTRATES COURT,JOHANNESBURG ;Public Works.ProcessReviewer;202003
1503,FLATS,,CORRECTIONAL SERVICES,0,29,DERWIG ROAD,IR,-26.3703425,28.8054412,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;202005
1502,FLATS,,CORRECTIONAL SERVICES,0,29,DERWIG ROAD,IR,-26.3699845,28.8043636,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;202008
1501,FLATS,,CORRECTIONAL SERVICES,0,29,DERWIG ROAD,IR,-26.3696917,28.8039932,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;202010
1499,SINGLE QUATERS,,CORRECTIONAL SERVICES,0,29,DERWIG ROAD,IR,-26.3655413,28.8041612,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;202012
1496,CELLS,,CORRECTIONAL SERVICES,0,29,DERWIG ROAD,IR,-26.3676384,28.800359,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;202014
1495,CELLS,,CORRECTIONAL SERVICES,0,29,DERWIG ROAD,IR,-26.3674219,28.8005645,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;202016
1473,MONDEOR SAPS,,SA POLICE SERVICES,0,N;Public Works.ProcessReviewer;202018
112,POLICE STATION,,SA POLICE SERVICES,1,1,COMMISSIONER,IR,-26.2063774,28.0315812,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202020
730,OFFICE,COMPLEX: LEEUWKOP PRISON,BASIC EDUCATION,0,0,Leeukop prison road,IR,-26.0110619,28.0536587,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202025
729,BAR,COMPLEX: LEEUWKOP PRISON,BASIC EDUCATION,0,0,Leeukop prison road,IR,-26.0087534,28.0686009,BAR,JOHANNESBURG ;Public Works.ProcessReviewer;202027
1815,PARKING BLOCK A,,ARTS AND CULTURE,1,N;Public Works.ProcessQA;202045
1056,BARRACK,,SA POLICE SERVICES,1,133,GREYPARK,WENTWORTH,-29.9369331,31.0063991,POLICE STATION,DURBAN ;Public Works.ProcessQA;202070
119,15 DE VILLIERS ST,N;Public Works.ProcessQA;202071
2471,OUDE MEULE,,SA POLICE SERVICES,1,0,LONGMARKET STREET,CAPE TOWN,-33.9273962,18.4256381,OFFICE,CAPE TOWN ;Public Works.ProcessQA;202072
1905,COURT,COMPLEX: SAPS FLEET STREET,SA POLICE SERVICES,1,cnr,Fleet, Buffalo, Church street,,-33.0210371,27.9036179,MAGISTRATES COURT,PORT ELIZABETH ;Public Works.ProcessQA;202073
1699,JUSTICE AND CONSTITUTIONAL DEVELOPMENT,,JUSTICE AND CONSTITUTIONAL DEVELPM,1,30,QUEEN VICTORIA STREET,CAPE TOWN,-33.92553,18.4171114,MAGISTRATES COURT,CAPE TOWN ;Public Works.ProcessQA;202074
1512,MARRIAGE QUARTERS,,SA POLICE SERVICES,1,3,WOODLANDS ROAD,IR,-26.1623423,28.0767492,MARRIAGE QUARTERS,JOHANNESBURG ;Public Works.ProcessQA;202076
6,HEADQUARTERS,COMPLEX: PRISON NEWCASTLE,SA POLICE SERVICES,1,76,ALLEN STR,NEWCASTLE,-27.7606978,29.9385316,POLICE STATION,DURBAN ;Public Works.ProcessQA;202079
29,SAPS ADMIN BLOCK,,SA POLICE SERVICES,1,133,OLD  MAIN  ROAD,PINETOWN,-29.8183265,30.8721806,POLICE STATION,DURBAN ;flip@profmap.com;202088
13,SQUASH COURT,,CORRECTIONAL SERVICES,0,29,DERWIG ROAD,IR,-26.3676902,28.8050382,PRISON,JOHANNESBURG ;Public Works.ProcessReviewer;202106
28,MAGISTRATES COURT,,JUSTICE AND CONSTITUTIONAL DEVELPM,1,5,CHANCSERY LANE,PINETOWN,-29.8185177,30.8613172,MAGISTRATES COURT,DURBAN ;Public Works.ProcessReviewer;202108
63,Mondeor SAPS,,SA POLICE SERVICES,0,N;Public Works.ProcessReviewer;202112
236,SAPS EDENVALE,,SA POLICE SERVICES,0,104,1ST AVENUE,IR,-26.1484165,28.1492277,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202114
237,SPAPS EDENVALE,,SA POLICE SERVICES,0,104,1ST AVENUE,IR,-26.1481597,28.1486791,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202116
325,YENZANI,QUAGGASFONTEIN 548 IQ PT 28,HIGHER EDUCATION AND TRAINING,0,No1,SAMUEL STREET,IQ,-26.6080432,27.8401803,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202118
326,SCIENCE EXHIBITION CENTRE,QUAGGASFONTEIN 548 IQ PT 28,HIGHER EDUCATION AND TRAINING,0,No1,SAMUEL STREET,IQ,-26.6082983,27.8396498,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202120
397,SEDIBENG SUBREGIONAL OFFICE,ERF 442,CORRECTIONAL SERVICES,0,28,MARKET AVE.,,-26.6735498,27.9258222,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202122
472,pretoria correctional service,,CORRECTIONAL SERVICES,0,7,WIMBLEDON STREET,JR,-25.7638472,28.1776656,PRISON,PRETORIA ;Public Works.ProcessReviewer;202125
514,HEALTH,N;Public Works.ProcessQA;202126
476,pretoria correctional service,,CORRECTIONAL SERVICES,0,7,WIMBLEDON STREET,JR,-25.7615944,28.1814861,PRISON,PRETORIA ;Public Works.ProcessReviewer;202128
1295,MINISTERS ESTATE,,PUBLIC WORKS,1,0,GROSVENOR ROAD,CAPE TOWN,-33.957587,18.4770849,FLAT,CAPE TOWN ;Public Works.ProcessReviewer;202136
1398,SA POLICE SERVICES,,SA POLICE SERVICES,1,0,GRANT STREET,CAPE TOWN,-33.9914932,18.4820575,RESIDENTIAL HOUSE,CAPE TOWN ;Public Works.ProcessReviewer;202138
1610,GENERATOR ROOM,,PUBLIC WORKS,1,0,7KM NORTH OF DAM AND R332 INTERSECTION,,-33.7413558,24.5864388,WORKSHOP,PORT ELIZABETH ;Public Works.ProcessReviewer;202140
1721,SA POLICE SERVICES,,SA POLICE SERVICES,1,0,Bergriver Boulevard South,PAARL,-33.7387014,18.9690815,POLICE STATION,CAPE TOWN ;Public Works.ProcessReviewer;202148
1738,HALL,QUAGGASFONTEIN 548 IQ PT 28,HIGHER EDUCATION AND TRAINING,0,No1,SAMUEL STREET,IQ,-26.6077949,27.839913,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202150
1739,BLOCK 4,QUAGGASFONTEIN 548 IQ PT 28,HIGHER EDUCATION AND TRAINING,0,No1,SAMUEL STREET,IQ,-26.607404,27.8401819,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202152
1740,ADMIN OFFICE,QUAGGASFONTEIN 548 IQ PT 28,HIGHER EDUCATION AND TRAINING,0,No1,SAMUEL STREET,IQ,-26.6077781,27.8405749,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202154
1741,DISTRICT STADIUM,QUAGGASFONTEIN 548 IQ PT 28,HIGHER EDUCATION AND TRAINING,0,No1,SAMUEL STREET,IQ,-26.607395,27.8414184,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202156
1791,MILLITARY CEREMONIAL GUARD,,,0,1,KETJEN STREET,JR,-25.7630947,28.1686475,OFFICE,PRETORIA ;Public Works.ProcessReviewer;202158
1863,DEPARTMENT OF BASIC EDUCATION,,,1,222,STRUBENS STREET,PRETORIA,-25.7411627,28.1885174,OFFICE,PRETORIA ;Public Works.ProcessReviewer;202160
2303,FLATS 1 - 10,COMPLEX: JC STEYN PRISON,CORRECTIONAL SERVICES,1,NA,R336,,-33.4004013,25.3250646,PRISON,PORT ELIZABETH ;Public Works.ProcessReviewer;202170
2307,FLATS 31 - 40,COMPLEX: JC STEYN PRISON,CORRECTIONAL SERVICES,1,NA,R336,,-33.4015787,25.3279685,PRISON,PORT ELIZABETH ;Public Works.ProcessReviewer;202174
2474,SA POLICE SERVICES,,SA POLICE SERVICES,1,0,CHURCH STREET,CAPE TOWN,-34.0042158,18.4648472,POLICE STATION,CAPE TOWN ;Public Works.ProcessReviewer;202180
2611,DETECTIVE OFFICES,,SA POLICE SERVICES,0,plot 88,MOSHOESHOE STR,IQ,-26.6086617,27.848421,OFFICE,JOHANNESBURG ;Public Works.ProcessReviewer;202182
2658,POLICE STATION,,SA POLICE SERVICES,0,NA,ANDREW MAPHETO DR, NEXT TO TEMBISA MAGISTRATES COURT,IGQAGQA,-26.0075233,28.2205268,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202184
2685,NO BUILDING NAME,,CORRECTIONAL SERVICES,0,0,OFF THE N6 SOUTH WEST OF ROUXVILLE,ROUXVILLE RD,-30.5589634,26.4026942,PRISON,BLOEMFONTEIN ;Public Works.ProcessReviewer;202186
2905,Office,12.08.2015,RURAL DEVELOPMENT AND LAND REFORM,1,1,Coutt street,,-33.0106587,27.9187301,OFFICE,PORT ELIZABETH ;Public Works.ProcessReviewer;202190
2979,RESIDENCE,,DEFENCE,1,1,BAYHEAD ROAD,BLUFF,-29.884735,31.0337499,HOSTEL,DURBAN ;Public Works.ProcessReviewer;202192
2634,SOUTH GAUTENG HIGH COURT,,JUSTICE AND CONSTITUTIONAL DEVELPM,1,64,PRITCHARDSTR 64,JOHANNESBURG,-26.2022628,28.0452758,COURT BUILDING,JOHANNESBURG ;Public Works.ProcessReviewer;202219
2555,OFFICE,,SA POLICE SERVICES,1,0,BARON VAN REEDE STREET,OUDTSHOORN,-33.5897701,22.2035242,OFFICE,CAPE TOWN ;Public Works.ProcessQA;202222
1864,NATIONAL LIBRARY OF SOUTH AFRICA,,ARTS AND CULTURE,1,228,JOHANNES RAMOKGOASE STREET,PRETORIA,-25.7426096,28.1895495,LIBRARY,PRETORIA ;Public Works.ProcessQA;202223
1555,PARKING,,ARTS AND CULTURE,1,2,SAM HANCKOK,IR,-26.1873391,28.042143,MUSEUM,JOHANNESBURG ;Public Works.ProcessQA;202232
1542,PARKING,,ARTS AND CULTURE,1,11,JOUBERT,IR,-26.1882682,28.0416316,UNULITIZED,JOHANNESBURG ;Public Works.ProcessQA;202241
1685,WESTERN CAPE  HIGH  COURT,,JUSTICE AND CONSTITUTIONAL DEVELPM,1,35,KEEROM STREET,CAPE TOWN,-33.9251039,18.4177052,MAGISTRATES COURT,CAPE TOWN ;Public Works.ProcessQA;202242
699,MAGISTRATE COURT,TURFFONTEIN 100 IR PT 163,JUSTICE AND CONSTITUTIONAL DEVELPM,0,0,Amanda Ave & Rifle Range Rd,IR,-26.2610948,28.033091,,JOHANNESBURG ;Public Works.ProcessReviewer;202289
2216,OLD FLATS 1&2,COMPLEX: JC STEYN PRISON,CORRECTIONAL SERVICES,1,NA,R336,,-33.4050089,25.3202198,PRISON,PORT ELIZABETH ;Public Works.ProcessQA;202293
390,SA POLICE SERVICES,,SA POLICE SERVICES,1,28,BUITENTKANT  STREET,CAPE TOWN,-33.9274801,18.422975,POLICE STATION,CAPE TOWN ;Public Works.ProcessQA;202305
2800,LABORATORY,N;Public Works.ProcessQA;202310
3004,SAPS PROVICIAL OFFICE,N;Public Works.ProcessQA;202314
Refferal2805,COURT,789: PT 546 (OF 433),JUSTICE AND CONSTITUTIONAL DEVELPM,1,0,BRIDGE CITY ROAD,FT,-29.726092,30.9923736,MAGISTRATES COURT,DURBAN ;Public Works.ProcessReviewer;202325
1627,VERULAM MAGISTRATES COURT,,JUSTICE AND CONSTITUTIONAL DEVELPM,1,195,GEORGE SEWPERSADH ROAD,VERULAM,-29.6424004,31.048411,NEW COURT BUILDINGS,DURBAN ;Public Works.ProcessQA;202338
1681,Residence,COMPLEX: SAP VREDENDAL,SA POLICE SERVICES,1,1,RIVIER STREET,VREDENDAL,-31.6606186,18.5102654,FLAT,CAPE TOWN ;Public Works.ProcessQA;202339
399,PARKING,,SA POLICE SERVICES,1,6,WOODLANDS ROAD,IR,-26.1621988,28.0762233,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202344
1682,Offices,COMPLEX: SAP VREDENDAL,SA POLICE SERVICES,1,1,RIVIER STREET,VREDENDAL,-31.6610139,18.5101338,POLICE STATION,CAPE TOWN ;Public Works.ProcessQA;202355
2191,FLATS 68 & 69,COMPLEX: JC STEYN PRISON,CORRECTIONAL SERVICES,1,NA,R336,,-33.4000255,25.3241598,Prefab,PORT ELIZABETH ;Public Works.ProcessQA;202356
2664,CUSTOMS HOUSE,,PUBLIC WORKS,1,0,NELSON MANDELA BVLD,CAPE TOWN,-33.915154,18.4292175,OFFICE,CAPE TOWN ;Public Works.ProcessQA;202357
2194,FLATS 66 & 67,COMPLEX: JC STEYN PRISON,CORRECTIONAL SERVICES,1,NA,R336,,-33.400136,25.3244265,PRISON,PORT ELIZABETH ;Public Works.ProcessQA;202358
1697,JUSTICE AND CONSTITUTIONAL DEVELOPMENT,,JUSTICE AND CONSTITUTIONAL DEVELPM,1,35,QUEEN VICTORIA STREET,CAPE TOWN,-33.9257288,18.4172974,MAGISTRATES COURT,CAPE TOWN ;Public Works.ProcessQA;202362
765,HIGH COURT OF PMB,,JUSTICE AND CONSTITUTIONAL DEVELPM,1,241,CHURCH STREET,PIETERMARITZBURG,-29.6016905,30.3779352,COURT BUILDING,DURBAN ;Public Works.ProcessQA;202376
651,FEMALE CORRECTIONAL CENTRE,,CORRECTIONAL SERVICES,1,1,IMPALA STR DIEPKLOOF,IQ,-26.2730449,27.9657647,PRISON,JOHANNESBURG ;Public Works.ProcessQA;202377
2815,OFFICES,COMPLEX: SAPS LOOPSTR,TELKOM,1,225,JABU NDLOVU,PIETERMARITZBURG,-29.6044046,30.3797908,OFFICE,DURBAN ;Public Works.ProcessQA;202378
515,OFFICES,N;Public Works.ProcessQA;202379
37,PRIVATE PROPERTY,N;Public Works.ProcessReviewer;202382
38,RESIDENTIAL,MAGISTRATES COURT,JUSTICE AND CONSTITUTIONAL DEVELPM,0,15,DOLOMITE STREET,WESTONARIA,-26.3236779,27.6508086,RESIDENTIAL HOUSE,JOHANNESBURG ;Public Works.ProcessReviewer;202384
52,HOUSE,15 OPPOSITION STR: ERF 182-2,SA POLICE SERVICES,0,15,OPPOSITION STREET,MELMOTH,-28.5882846,31.3934237,RESIDENTIAL HOUSE,DURBAN ;Public Works.ProcessReviewer;202386
53,HOUSE,15 OPPOSITION STR: ERF 182-2,SA POLICE SERVICES,0,17,OPPOSITION STREET,MELMOTH,-28.5883573,31.3930905,RESIDENTIAL HOUSE,DURBAN ;Public Works.ProcessReviewer;202388
58,KIEPERSOLHOT MARRIGE QUARTERS,,SA POLICE SERVICES,0,N;Public Works.ProcessReviewer;202390
154,ADMIN BLOCK,,SA POLICE SERVICES,0,106,CHIEF ALBERT LUTHULI STREET,STANGER,-29.3475081,31.284498,POLICE STATION,DURBAN ;Public Works.ProcessReviewer;202392
211,RESIDENTIAL HOUSE,,SA POLICE SERVICES,0,Erf 231,COMMISSIONER STREET,BOKSBURG,-26.2205759,28.238422,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202394
212,FLATS,,SA POLICE SERVICES,0,Erf 231,COMMISSIONER STREET,BOKSBURG,-26.2209083,28.2391482,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202396
213,OFFICES,,SA POLICE SERVICES,0,Erf 231,COMMISSIONER STREET,BOKSBURG,-26.2206011,28.239273,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202398
214,FLATS,,PUBLIC WORKS,1,Erf 288,QUEEN STREET,WEST GERMISTON,-26.2144785,28.1609779,FLAT,JOHANNESBURG ;Public Works.ProcessReviewer;202400
235,SAPS EDENVALE,,SA POLICE SERVICES,0,104,1ST AVENUE,IR,-26.1486276,28.1494527,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202402
236,SAPS EDENVALE,,SA POLICE SERVICES,0,104,1ST AVENUE,IR,-26.1484165,28.1492277,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202404
237,SPAPS EDENVALE,,SA POLICE SERVICES,0,104,1ST AVENUE,IR,-26.1481597,28.1486791,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202406
239,SAPS HILLBROW,,SA POLICE SERVICES,1,1,CLEARONDON,JOHANNESBURG,-26.1876633,28.0448564,POLICE STATION,JOHANNESBURG ;Public Works.ProcessReviewer;202408
241,BARRAKS,,SA POLICE SERVICES,1,2,CLEARONDON,JOHANNESBURG,-26.1882475,28.0444852,SINGLE QUARTER FLATS,JOHANNESBURG ;Public Works.ProcessReviewer;202410
243,SLEEPING DOM,,DEFENCE,0,Erf 186;Public Works.ProcessReviewer;202412
244,OFFICES,,DEFENCE,0,Erf 186;Public Works.ProcessReviewer;202414
